id,title,genres,averageRating,releaseYear
448,It Happened One Night,"Comedy, Romance",8.1,1934
449,Three Colors: Red,"Drama, Mystery, Romance",8.1,1994
450,The Grapes of Wrath,Drama,8.1,1940
451,Bajrangi Bhaijaan,"Action, Adventure, Comedy",8.1,2015
452,The General,"Action, Adventure, Comedy",8.1,1926
453,Munna Bhai M.B.B.S.,"Comedy, Drama",8.1,2003
454,Barfi!,"Comedy, Drama, Romance",8.1,2012
455,Chak De! India,"Drama, Family, Sport",8.1,2007
456,The Man Who Shot Liberty Valance,"Drama, Western",8.1,1962
457,A Wednesday,"Action, Crime, Drama",8.1,2008
458,Dara of Jasenovac,"Drama, War",8.1,2020
459,Free Solo,"Adventure, Documentary, Sport",8.1,2018
460,Sinners,"Action, Drama, Horror",8.1,2025
461,Blackfish,"Documentary, Drama, Horror",8.1,2013
462,The Best Years of Our Lives,"Drama, Romance, War",8.1,1946
463,The Bandit,"Crime, Drama",8.1,1996
464,Tokyo Story,Drama,8.1,1953
465,Diabolique,"Crime, Drama, Horror",8.1,1955
466,The Battle of Algiers,"Drama, War",8.1,1966
467,Neon Genesis Evangelion: The End of Evangelion,"Action, Animation, Drama",8.1,1997
468,The Wages of Fear,"Adventure, Drama, Thriller",8.1,1953
469,All Quiet on the Western Front,"Drama, War",8.1,1930
470,Queen,"Adventure, Comedy, Drama",8.1,2013
471,Fanny and Alexander,Drama,8.1,1982
472,OMG: Oh My God!,"Comedy, Drama, Fantasy",8.1,2012
